




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5228828 Released 2021-08-18
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (1322)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
positive regulation of response to endoplasmic reticulum stress (GO:1905898)	37	10	2.38	+	4.21	4.10E-04	3.89E-02
insulin receptor signaling pathway (GO:0008286)	60	13	3.85	+	3.38	3.83E-04	3.77E-02
nucleosome assembly (GO:0006334)	101	19	6.48	+	2.93	1.02E-04	1.15E-02
regulation of translational initiation (GO:0006446)	80	15	5.14	+	2.92	5.44E-04	4.92E-02
chromatin assembly or disassembly (GO:0006333)	154	28	9.89	+	2.83	4.63E-06	7.20E-04
histone methylation (GO:0016571)	89	16	5.71	+	2.80	5.42E-04	4.92E-02
chromatin assembly (GO:0031497)	134	24	8.60	+	2.79	2.68E-05	3.43E-03
nucleosome organization (GO:0034728)	140	25	8.99	+	2.78	1.92E-05	2.52E-03
regulation of gene expression, epigenetic (GO:0040029)	130	22	8.34	+	2.64	1.94E-04	2.05E-02
DNA packaging (GO:0006323)	180	30	11.55	+	2.60	1.18E-05	1.66E-03
cytoplasmic translation (GO:0002181)	122	20	7.83	+	2.55	4.85E-04	4.48E-02
protein-DNA complex assembly (GO:0065004)	167	27	10.72	+	2.52	4.83E-05	5.80E-03
negative regulation of cellular amide metabolic process (GO:0034249)	188	30	12.07	+	2.49	2.18E-05	2.84E-03
protein-DNA complex subunit organization (GO:0071824)	208	33	13.35	+	2.47	1.38E-05	1.87E-03
negative regulation of translation (GO:0017148)	166	26	10.66	+	2.44	9.99E-05	1.14E-02
chromatin remodeling (GO:0006338)	247	38	15.86	+	2.40	4.08E-06	6.42E-04
regulation of RNA splicing (GO:0043484)	150	23	9.63	+	2.39	3.24E-04	3.29E-02
RNA catabolic process (GO:0006401)	158	24	10.14	+	2.37	4.05E-04	3.88E-02
protein targeting (GO:0006605)	229	34	14.70	+	2.31	3.45E-05	4.34E-03
transcription by RNA polymerase II (GO:0006366)	247	36	15.86	+	2.27	2.28E-05	2.94E-03
translation (GO:0006412)	366	52	23.49	+	2.21	6.97E-07	1.29E-04
peptide biosynthetic process (GO:0043043)	388	54	24.91	+	2.17	8.11E-07	1.48E-04
endosomal transport (GO:0016197)	220	30	14.12	+	2.12	3.95E-04	3.83E-02
regulation of cellular amide metabolic process (GO:0034248)	455	62	29.21	+	2.12	2.77E-07	5.80E-05
regulation of translation (GO:0006417)	399	54	25.61	+	2.11	1.86E-06	3.08E-04
chromatin organization (GO:0006325)	686	91	44.03	+	2.07	1.20E-09	4.39E-07
RNA biosynthetic process (GO:0032774)	407	53	26.13	+	2.03	6.23E-06	9.51E-04
DNA conformation change (GO:0071103)	269	35	17.27	+	2.03	2.30E-04	2.37E-02
transcription, DNA-templated (GO:0006351)	394	51	25.29	+	2.02	1.13E-05	1.62E-03
